Station;Sample;Filter;Photo;Type;Colour;Colour2;Colour3;Colour4;Colour Type;Length;Width;Area;Perimeter;Perimeter-2;Comments
St 918 Blank (sea);St 918 Blank (sea);62;NA;Fibre;Blue;;;;;61.85;8.52;NA;NA;NA;NA
St 918 Blank (sea);St 918 Blank (sea);62;NA;Fibre;Blue;;;;;394.4;28.83;NA;NA;NA;NA
St 919 A;St 919 A;70;NA;Fragment/Paint;orange;;;;;129.95;118.36;9572.82;368.84;NA;paint from boat?
St 919 A;St 919 A;70;2;Fibre;blue/purple;;;;;768.99;9.17;NA;NA;NA;new color
St 919 A;St 919 A;70;4;Fibre;brown/transparent;;;;;2997.66;18.63;NA;NA;NA;natural?
St 919 A;St 919 A;70;5;Fragment;faint blue;;;;;130.51;100.32;13747.48;496.52;NA;often in samples/not plastic?/contamination?
St 919 A;St 919 A;70;7;Fragment;faint blue;;;;;128.96;355.73;37313.16;919.43;NA;often in samples/not plastic?/contamination?
St 919 A;St 919 A;70;8;Fibre;black;;;;;1204.7;8.2;NA;NA;NA;plastic
St 919 A;St 919 A;70;9;Fibre;balck;;;;;1753.45;8.2;NA;NA;NA;plastic
St 919 A;St 919 A;70;10;Fibre;black;;;;;1274.99;14.64;NA;NA;NA;plastic
St 919 B;St 919 B;71;NA;Fragment;faint blue;;;;;146.65;56.48;9315.24;421.38;NA;often in samples/not plastic?/contamination?
