"","Station","Sample","Filter","Photo","Type","Type2","Colour","Colour2","Colour3","Colour4","Col.Type","Length","Width","Area","Perimeter","Perimeter.2","Possible.contamination","Comments","SizeClass"
"252","919","B",71,3,"Fibre",,"blue",,,,"light",691.11,129.78,114407.06,"1782.34",,,"often observed","large"
"253","919","B",71,,"Fragment",,"blue",,,,"light",146.65,56.48,9315.24,"421.38",,,"often in samples/not plastic?/contamination?","medium"
"254","919","B",71,4,"Fragment",,"blue",,,,"light",780.03,501.19,260712.88,"2272.93",,,"often in samples/not plastic?/contamination?","large"
"255","919","B",71,6,"Fragment",,"blue",,,,"light",151.86,124.62,17495.78,"526.93",,,"often in samples/not plastic?/contamination?","medium"
"256","919","B",71,2,"Fibre",,"green",,,,"light",550.18,11.91,,,,"Piece of rope?",,"large"
"257","919","Blank sea",63,3,"Fibre",,"black",,,,,246.53,6.43,,,,,,"medium"
"258","919","Blank sea",63,4,"Fibre",,"black",,,,,1887.75,11.96,,,,,,"large"
"259","919","Blank sea",63,5,"Fibre",,"black",,,,,1035.18,12.92,,,,,,"large"
"260","919","Blank sea",63,1,"Fibre",,"red",,,,,400.25,8.46,,,,,,"large"
"261","919","Blank sea",63,2,"Fibre",,"transparent",,,,,1813.05,6.46,,,,,,"large"
"262","919","Blank sea",63,7,"Fibre",,"transparent",,,,,2495.89,18.44,,,,,,"large"
"263","919","Blank sea",63,8,"Fibre",,"transparent",,,,,1257.52,15.33,,,,,,"large"
"264","919","C",72,,"Fibre",,"transparent","blue",,,"sectioned",818.12,13.8,,,,,"often observed","large"
"265","919","C",72,,"Fibre",,"transparent","blue",,,"sectioned",921.9,13.92,,,,,"often observed","large"
"266","919","C",72,1,"Fibre",,"white",,,,,4127.52,48.87,,,,,"bone?","large"
"267","920","A",73,,,,,,,,,,,,,,,"Nothing found",
"268","920","B",74,,,,,,,,,,,,,,,"Nothing found",
"269","920","Blank sea",64,1,"Fibre",,"black",,,,,2071.61,13.08,,,,,,"large"
"270","920","Blank sea",64,,"Fibre",,"transparent",,,,,915.69,15.46,,,,,,"large"
"271","920","C",75,,"Fibre",,"black",,,,,2435.77,9.91,,,,,,"large"
"272","920","C",75,1,"Fibre",,"grey",,,,,1992.67,17.01,,,,,"natural?","large"
"273","921","A",76,1,"Fibre",,"black",,,,,186.78,7.33,,,,,"natural?","medium"
"274","921","A",76,,"Fibre",,"black",,,,,729.94,36.96,,,,,,"large"
